1-Map_P30_ContactForce.txt_2.0
Rate=50	Number =200	Date:05/05/21	Point Time:14:27:09	System Time:14:27:09	
Mode=0
IntervalGraph=100
3381123	0.321241	0	0	0	0	0	
IntervalNonGraph=1000
3381573	0.734095	0	0	0	0	0	
Index	Time	Timestamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
1	-7482	3371623	0.778339	0	0	0	0	0	
2	-7432	3371673	-1.39702	0	0	0	0	0	
3	-7382	3371723	0.435318	0	0	0	0	0	
4	-7332	3371773	2.06561	0	0	0	0	0	
5	-7282	3371823	0.997631	0	0	0	0	0	
6	-7232	3371873	-2.81071	0	0	0	0	0	
7	-7182	3371923	0.668598	0	0	0	0	0	
8	-7132	3371973	-2.33111	0	0	0	0	0	
9	-7082	3372023	-1.3464	0	0	0	0	0	
10	-7032	3372073	2.45053	0	0	0	0	0	
11	-6982	3372123	0.944677	0	0	0	0	0	
12	-6932	3372173	-0.958027	0	0	0	0	0	
13	-6882	3372223	0.98481	0	0	0	0	0	
14	-6832	3372273	-0.513118	0	0	0	0	0	
15	-6782	3372323	1.64511	0	0	0	0	0	
16	-6732	3372373	-1.28323	0	0	0	0	0	
17	-6682	3372423	-1.24148	0	0	0	0	0	
18	-6632	3372473	1.01609	0	0	0	0	0	
19	-6582	3372523	0.390463	0	0	0	0	0	
20	-6532	3372573	-0.509963	0	0	0	0	0	
21	-6482	3372623	1.4916	0	0	0	0	0	
22	-6432	3372673	1.69585	0	0	0	0	0	
23	-6382	3372723	3.20671	0	0	0	0	0	
24	-6332	3372773	1.18901	0	0	0	0	0	
25	-6282	3372823	0.977253	0	0	0	0	0	
26	-6232	3372873	-0.665913	0	0	0	0	0	
27	-6182	3372923	-0.405365	0	0	0	0	0	
28	-6132	3372973	3.73611	0	0	0	0	0	
29	-6082	3373023	0.672189	0	0	0	0	0	
30	-6032	3373073	0.794295	0	0	0	0	0	
31	-5982	3373123	0.553116	0	0	0	0	0	
32	-5932	3373173	1.79663	0	0	0	0	0	
33	-5882	3373223	-0.736763	0	0	0	0	0	
34	-5832	3373273	0.430967	0	0	0	0	0	
35	-5782	3373323	-0.292424	0	0	0	0	0	
36	-5732	3373373	3.16049	0	0	0	0	0	
37	-5682	3373423	-1.14983	0	0	0	0	0	
38	-5632	3373473	0.669826	0	0	0	0	0	
39	-5582	3373523	0.789203	0	0	0	0	0	
40	-5532	3373573	3.57414	0	0	0	0	0	
41	-5482	3373623	3.41024	0	0	0	0	0	
42	-5432	3373673	3.32025	0	0	0	0	0	
43	-5382	3373723	1.365	0	0	0	0	0	
44	-5332	3373773	-0.921123	0	0	0	0	0	
45	-5282	3373823	2.20793	0	0	0	0	0	
46	-5232	3373873	-1.00213	0	0	0	0	0	
47	-5182	3373923	0.594587	0	0	0	0	0	
48	-5132	3373973	1.74062	0	0	0	0	0	
49	-5082	3374023	1.67958	0	0	0	0	0	
50	-5032	3374073	1.17697	0	0	0	0	0	
51	-4982	3374123	1.88119	0	0	0	0	0	
52	-4932	3374173	2.26605	0	0	0	0	0	
53	-4882	3374223	1.11724	0	0	0	0	0	
54	-4832	3374273	-0.58283	0	0	0	0	0	
55	-4782	3374323	0.976631	0	0	0	0	0	
56	-4732	3374373	-2.08178	0	0	0	0	0	
57	-4682	3374423	1.74101	0	0	0	0	0	
58	-4632	3374473	1.61343	0	0	0	0	0	
59	-4582	3374523	1.56009	0	0	0	0	0	
60	-4532	3374573	0.404346	0	0	0	0	0	
61	-4482	3374623	0.88024	0	0	0	0	0	
62	-4432	3374673	3.33862	0	0	0	0	0	
63	-4382	3374723	1.22707	0	0	0	0	0	
64	-4332	3374773	-1.1977	0	0	0	0	0	
65	-4282	3374823	1.64173	0	0	0	0	0	
66	-4232	3374873	1.0129	0	0	0	0	0	
67	-4182	3374923	1.89183	0	0	0	0	0	
68	-4132	3374973	1.5332	0	0	0	0	0	
69	-4082	3375023	1.31964	0	0	0	0	0	
70	-4032	3375073	-0.959499	0	0	0	0	0	
71	-3982	3375123	2.41136	0	0	0	0	0	
72	-3932	3375173	0.255839	0	0	0	0	0	
73	-3882	3375223	0.740594	0	0	0	0	0	
74	-3832	3375273	0.692773	0	0	0	0	0	
75	-3782	3375323	1.60753	0	0	0	0	0	
76	-3732	3375373	1.68305	0	0	0	0	0	
77	-3682	3375423	0.886007	0	0	0	0	0	
78	-3632	3375473	0.847341	0	0	0	0	0	
79	-3582	3375523	-0.552087	0	0	0	0	0	
80	-3532	3375573	-0.725337	0	0	0	0	0	
81	-3482	3375623	2.01272	0	0	0	0	0	
82	-3432	3375673	1.66523	0	0	0	0	0	
83	-3382	3375723	0.801355	0	0	0	0	0	
84	-3332	3375773	-1.32358	0	0	0	0	0	
85	-3282	3375823	-0.451224	0	0	0	0	0	
86	-3232	3375873	1.51474	0	0	0	0	0	
87	-3182	3375923	-0.523003	0	0	0	0	0	
88	-3132	3375973	1.99867	0	0	0	0	0	
89	-3082	3376023	1.2751	0	0	0	0	0	
90	-3032	3376073	4.52022	0	0	0	0	0	
91	-2982	3376123	1.06017	0	0	0	0	0	
92	-2932	3376173	1.565	0	0	0	0	0	
93	-2882	3376223	1.53454	0	0	0	0	0	
94	-2832	3376273	0.406185	0	0	0	0	0	
95	-2782	3376323	0.250823	0	0	0	0	0	
96	-2732	3376373	0.764055	0	0	0	0	0	
97	-2682	3376423	-1.23682	0	0	0	0	0	
98	-2632	3376473	-1.12546	0	0	0	0	0	
99	-2582	3376523	0.356334	0	0	0	0	0	
100	-2532	3376573	1.3326	0	0	0	0	0	
101	-2482	3376623	0.614933	0	0	0	0	0	
102	-2432	3376673	-1.48812	0	0	0	0	0	
103	-2382	3376723	1.50662	0	0	0	0	0	
104	-2332	3376773	2.29847	0	0	0	0	0	
105	-2282	3376823	0.805181	0	0	0	0	0	
106	-2232	3376873	2.55043	0	0	0	0	0	
107	-2182	3376923	0.425671	0	0	0	0	0	
108	-2132	3376973	2.21818	0	0	0	0	0	
109	-2082	3377023	-0.822416	0	0	0	0	0	
110	-2032	3377073	-0.495507	0	0	0	0	0	
111	-1982	3377123	0.532893	0	0	0	0	0	
112	-1932	3377173	0.330889	0	0	0	0	0	
113	-1882	3377223	1.13255	0	0	0	0	0	
114	-1832	3377273	-0.728562	0	0	0	0	0	
115	-1782	3377323	1.07322	0	0	0	0	0	
116	-1732	3377373	-0.552603	0	0	0	0	0	
117	-1682	3377423	0.982768	0	0	0	0	0	
118	-1632	3377473	-1.37327	0	0	0	0	0	
119	-1582	3377523	0.880836	0	0	0	0	0	
120	-1532	3377573	2.63941	0	0	0	0	0	
121	-1482	3377623	-0.323204	0	0	0	0	0	
122	-1432	3377673	1.95866	0	0	0	0	0	
123	-1382	3377723	-0.340579	0	0	0	0	0	
124	-1332	3377773	1.12993	0	0	0	0	0	
125	-1282	3377823	-0.791755	0	0	0	0	0	
126	-1232	3377873	0.918582	0	0	0	0	0	
127	-1182	3377923	0.578972	0	0	0	0	0	
128	-1132	3377973	-2.56277	0	0	0	0	0	
129	-1082	3378023	2.25345	0	0	0	0	0	
130	-1032	3378073	1.5215	0	0	0	0	0	
131	-982	3378123	0.755563	0	0	0	0	0	
132	-932	3378173	0.529695	0	0	0	0	0	
133	-882	3378223	-0.673513	0	0	0	0	0	
134	-832	3378273	0.581851	0	0	0	0	0	
135	-782	3378323	-1.24354	0	0	0	0	0	
136	-732	3378373	3.9193	0	0	0	0	0	
137	-682	3378423	3.75942	0	0	0	0	0	
138	-632	3378473	5.51098	61	9	0	0	0	
139	-582	3378523	1.23435	0	0	0	0	0	
140	-532	3378573	1.72413	0	0	0	0	0	
141	-482	3378623	0.739397	0	0	0	0	0	
142	-432	3378673	-0.356149	0	0	0	0	0	
143	-382	3378723	1.54519	0	0	0	0	0	
144	-332	3378773	1.52696	0	0	0	0	0	
145	-282	3378823	-0.84905	0	0	0	0	0	
146	-232	3378873	-0.64306	0	0	0	0	0	
147	-182	3378923	1.64053	0	0	0	0	0	
148	-132	3378973	2.32771	0	0	0	0	0	
149	-82	3379023	2.66472	0	0	0	0	0	
150	-32	3379073	-0.5935	0	0	0	0	0	
151	18	3379123	0.882761	0	0	0	0	0	
152	68	3379173	1.18099	0	0	0	0	0	
153	118	3379223	3.11779	0	0	0	0	0	
154	168	3379273	3.8797	0	0	0	0	0	
155	218	3379323	-0.775144	0	0	0	0	0	
156	268	3379373	-0.479629	0	0	0	0	0	
157	318	3379423	-0.676481	0	0	0	0	0	
158	368	3379473	1.89302	0	0	0	0	0	
159	418	3379523	0.77737	0	0	0	0	0	
160	468	3379573	2.03316	0	0	0	0	0	
161	518	3379623	0.89299	0	0	0	0	0	
162	568	3379673	0.986869	0	0	0	0	0	
163	618	3379723	0.586913	0	0	0	0	0	
164	668	3379773	-0.764979	0	0	0	0	0	
165	718	3379823	-0.594259	0	0	0	0	0	
166	768	3379873	0.357856	0	0	0	0	0	
167	818	3379923	2.15751	0	0	0	0	0	
168	868	3379973	1.19019	0	0	0	0	0	
169	918	3380023	2.82189	0	0	0	0	0	
170	968	3380073	1.13314	0	0	0	0	0	
171	1018	3380123	0.725439	0	0	0	0	0	
172	1068	3380173	0.601415	0	0	0	0	0	
173	1118	3380223	-0.661827	0	0	0	0	0	
174	1168	3380273	1.54651	0	0	0	0	0	
175	1218	3380323	2.1534	0	0	0	0	0	
176	1268	3380373	0.44442	0	0	0	0	0	
177	1318	3380423	-0.272284	0	0	0	0	0	
178	1368	3380473	1.02378	0	0	0	0	0	
179	1418	3380523	0.557784	0	0	0	0	0	
180	1468	3380573	-0.479555	0	0	0	0	0	
181	1518	3380623	0.286747	0	0	0	0	0	
182	1568	3380673	-1.34436	0	0	0	0	0	
183	1618	3380723	-0.340489	0	0	0	0	0	
184	1668	3380773	1.95789	0	0	0	0	0	
185	1718	3380823	3.25338	0	0	0	0	0	
186	1768	3380873	-1.85391	0	0	0	0	0	
187	1818	3380923	0.403975	0	0	0	0	0	
188	1868	3380973	1.98801	0	0	0	0	0	
189	1918	3381023	2.18676	0	0	0	0	0	
190	1968	3381073	-0.660943	0	0	0	0	0	
191	2018	3381123	1.25819	0	0	0	0	0	
192	2068	3381173	0.346031	0	0	0	0	0	
193	2118	3381223	2.40441	0	0	0	0	0	
194	2168	3381273	0.342669	0	0	0	0	0	
195	2218	3381323	1.00464	0	0	0	0	0	
196	2268	3381373	0.649956	0	0	0	0	0	
197	2318	3381423	0.408805	0	0	0	0	0	
198	2368	3381473	1.48301	0	0	0	0	0	
199	2418	3381523	1.47652	0	0	0	0	0	
200	2468	3381573	0.393893	0	0	0	0	0	
